id,version,block,trial,side,rt,is_opt
495eab1b85434fff,1,1,1,right,4443,1
495eab1b85434fff,1,1,2,left,2242,1
495eab1b85434fff,1,1,3,left,5357,1
495eab1b85434fff,1,1,4,left,2403,1
495eab1b85434fff,1,1,5,right,4747,1
495eab1b85434fff,1,1,6,right,5476,1
495eab1b85434fff,1,1,7,right,4780,1
495eab1b85434fff,1,1,8,left,7167,1
495eab1b85434fff,1,1,9,left,6338,1
495eab1b85434fff,1,1,10,left,5818,1
495eab1b85434fff,1,1,11,left,3772,1
495eab1b85434fff,1,1,12,left,6825,1
495eab1b85434fff,1,1,13,left,6106,1
495eab1b85434fff,1,1,14,right,1972,1
495eab1b85434fff,1,1,15,right,2188,1
495eab1b85434fff,1,1,16,left,6066,1
495eab1b85434fff,1,1,17,right,1101,1
495eab1b85434fff,1,1,18,left,3473,1
495eab1b85434fff,1,1,19,right,2578,1
495eab1b85434fff,1,1,20,right,6495,1
495eab1b85434fff,1,1,21,right,5868,1
495eab1b85434fff,1,1,22,left,5707,1
495eab1b85434fff,1,1,23,right,2858,1
495eab1b85434fff,1,1,24,left,1780,1
495eab1b85434fff,1,1,25,left,1499,1
495eab1b85434fff,1,1,26,right,1230,1
495eab1b85434fff,1,1,27,right,2195,1
495eab1b85434fff,1,1,28,right,4749,1
495eab1b85434fff,1,1,29,left,2020,1
495eab1b85434fff,1,1,30,left,6977,1
495eab1b85434fff,1,1,31,left,6467,1
495eab1b85434fff,1,1,32,right,4047,1
495eab1b85434fff,1,1,33,right,2380,1
495eab1b85434fff,1,1,34,right,6083,1
495eab1b85434fff,1,1,35,right,6802,1
495eab1b85434fff,1,1,36,right,2124,1
495eab1b85434fff,1,1,37,left,3524,1
495eab1b85434fff,1,1,38,right,3809,1
495eab1b85434fff,1,1,39,left,3460,1
495eab1b85434fff,1,1,40,left,2656,1
495eab1b85434fff,1,2,1,left,1799,1
495eab1b85434fff,1,2,2,left,5661,1
495eab1b85434fff,1,2,3,left,5467,1
495eab1b85434fff,1,2,4,left,3498,1
495eab1b85434fff,1,2,5,left,4000,1
495eab1b85434fff,1,2,6,right,4366,1
495eab1b85434fff,1,2,7,right,3354,1
495eab1b85434fff,1,2,8,right,5709,1
495eab1b85434fff,1,2,9,right,5982,1
495eab1b85434fff,1,2,10,left,5360,1
495eab1b85434fff,1,2,11,left,5215,1
495eab1b85434fff,1,2,12,left,4538,1
495eab1b85434fff,1,2,13,left,2242,1
495eab1b85434fff,1,2,14,left,9239,0
495eab1b85434fff,1,2,15,left,5092,1
495eab1b85434fff,1,2,16,right,5093,0
495eab1b85434fff,1,2,17,left,4047,1
495eab1b85434fff,1,2,18,left,3671,1
495eab1b85434fff,1,2,19,left,6625,1
495eab1b85434fff,1,2,20,right,1390,1
495eab1b85434fff,1,2,21,right,2850,1
495eab1b85434fff,1,2,22,right,5899,1
495eab1b85434fff,1,2,23,right,3727,1
495eab1b85434fff,1,2,24,right,5460,1
495eab1b85434fff,1,2,25,right,1061,1
495eab1b85434fff,1,2,26,left,5501,1
495eab1b85434fff,1,2,27,right,2851,1
495eab1b85434fff,1,2,28,right,3815,1
495eab1b85434fff,1,2,29,right,2306,1
495eab1b85434fff,1,2,30,left,4522,1
495eab1b85434fff,1,2,31,left,1805,1
495eab1b85434fff,1,2,32,right,6251,1
495eab1b85434fff,1,2,33,left,2476,1
495eab1b85434fff,1,2,34,right,4908,1
495eab1b85434fff,1,2,35,right,1157,1
495eab1b85434fff,1,2,36,right,1334,1
495eab1b85434fff,1,2,37,right,5388,1
495eab1b85434fff,1,2,38,left,4288,1
495eab1b85434fff,1,2,39,right,2250,1
495eab1b85434fff,1,2,40,left,3255,1
495eab1b85434fff,1,3,1,right,5070,1
495eab1b85434fff,1,3,2,left,4359,1
495eab1b85434fff,1,3,3,left,2030,1
495eab1b85434fff,1,3,4,left,2166,1
495eab1b85434fff,1,3,5,right,1141,1
495eab1b85434fff,1,3,6,right,3072,1
495eab1b85434fff,1,3,7,right,2051,1
495eab1b85434fff,1,3,8,left,5706,1
495eab1b85434fff,1,3,9,right,4405,1
495eab1b85434fff,1,3,10,right,5030,1
495eab1b85434fff,1,3,11,left,3528,1
495eab1b85434fff,1,3,12,right,5759,1
495eab1b85434fff,1,3,13,right,1055,1
495eab1b85434fff,1,3,14,left,1134,1
495eab1b85434fff,1,3,15,left,1935,1
495eab1b85434fff,1,3,16,left,3608,1
495eab1b85434fff,1,3,17,left,4614,1
495eab1b85434fff,1,3,18,left,4519,1
495eab1b85434fff,1,3,19,right,4572,1
495eab1b85434fff,1,3,20,left,5300,1
495eab1b85434fff,1,3,21,right,6596,1
495eab1b85434fff,1,3,22,left,4536,1
495eab1b85434fff,1,3,23,left,1310,1
495eab1b85434fff,1,3,24,right,4584,1
495eab1b85434fff,1,3,25,right,7128,1
495eab1b85434fff,1,3,26,left,1165,1
495eab1b85434fff,1,3,27,left,5741,1
495eab1b85434fff,1,3,28,left,2659,1
495eab1b85434fff,1,3,29,right,1149,1
495eab1b85434fff,1,3,30,left,1253,1
495eab1b85434fff,1,3,31,left,3665,1
495eab1b85434fff,1,3,32,right,3943,1
495eab1b85434fff,1,3,33,left,1660,1
495eab1b85434fff,1,3,34,left,6205,1
495eab1b85434fff,1,3,35,right,3203,1
495eab1b85434fff,1,3,36,right,6252,1
495eab1b85434fff,1,3,37,right,2857,1
495eab1b85434fff,1,3,38,right,5446,1
495eab1b85434fff,1,3,39,right,3684,1
495eab1b85434fff,1,3,40,right,5086,1
