id,block,trial,color,rt,is_opt
11936ddbe4ad79db,1,1,blue,3743,1
11936ddbe4ad79db,1,2,blue,2895,1
11936ddbe4ad79db,1,3,blue,2808,1
11936ddbe4ad79db,1,4,blue,6970,0
11936ddbe4ad79db,1,5,blue,5481,0
11936ddbe4ad79db,1,6,blue,3625,1
11936ddbe4ad79db,1,7,blue,2663,1
11936ddbe4ad79db,1,8,blue,3590,1
11936ddbe4ad79db,1,9,blue,2928,1
11936ddbe4ad79db,1,10,blue,4295,1
11936ddbe4ad79db,1,11,blue,2896,1
11936ddbe4ad79db,1,12,blue,6054,0
11936ddbe4ad79db,1,13,blue,6488,0
11936ddbe4ad79db,1,14,blue,4993,0
11936ddbe4ad79db,1,15,blue,2496,1
11936ddbe4ad79db,1,16,blue,6360,0
11936ddbe4ad79db,1,17,blue,7933,0
11936ddbe4ad79db,1,18,blue,2959,1
11936ddbe4ad79db,1,19,blue,6015,0
11936ddbe4ad79db,1,20,blue,2495,1
11936ddbe4ad79db,1,21,blue,2953,1
11936ddbe4ad79db,1,22,blue,4320,1
11936ddbe4ad79db,1,23,blue,2552,1
11936ddbe4ad79db,1,24,blue,7719,0
11936ddbe4ad79db,1,25,blue,6905,0
11936ddbe4ad79db,1,26,blue,6392,0
11936ddbe4ad79db,1,27,blue,8823,0
11936ddbe4ad79db,1,28,blue,5543,0
11936ddbe4ad79db,1,29,blue,6352,0
11936ddbe4ad79db,1,30,blue,2496,1
11936ddbe4ad79db,1,31,blue,7041,0
11936ddbe4ad79db,1,32,blue,3479,1
11936ddbe4ad79db,1,33,blue,5511,0
11936ddbe4ad79db,1,34,blue,3119,1
11936ddbe4ad79db,1,35,blue,3863,1
11936ddbe4ad79db,1,36,blue,6376,0
11936ddbe4ad79db,1,37,blue,6041,0
11936ddbe4ad79db,1,38,blue,6096,0
11936ddbe4ad79db,1,39,blue,2863,1
11936ddbe4ad79db,1,40,blue,5417,0
11936ddbe4ad79db,2,1,blue,2671,1
11936ddbe4ad79db,2,2,blue,5439,0
11936ddbe4ad79db,2,3,blue,6344,0
11936ddbe4ad79db,2,4,blue,4991,1
11936ddbe4ad79db,2,5,blue,7192,0
11936ddbe4ad79db,2,6,blue,3320,1
11936ddbe4ad79db,2,7,blue,2808,1
11936ddbe4ad79db,2,8,blue,7120,0
11936ddbe4ad79db,2,9,blue,3464,1
11936ddbe4ad79db,2,10,blue,2536,1
11936ddbe4ad79db,2,11,blue,9488,0
11936ddbe4ad79db,2,12,blue,5823,0
11936ddbe4ad79db,2,13,blue,5697,0
11936ddbe4ad79db,2,14,blue,3224,1
11936ddbe4ad79db,2,15,blue,4255,1
11936ddbe4ad79db,2,16,blue,2767,1
11936ddbe4ad79db,2,17,blue,7920,0
11936ddbe4ad79db,2,18,blue,2656,1
11936ddbe4ad79db,2,19,blue,6023,0
11936ddbe4ad79db,2,20,blue,2817,1
11936ddbe4ad79db,2,21,blue,7616,0
11936ddbe4ad79db,2,22,blue,3799,1
11936ddbe4ad79db,2,23,blue,6489,0
11936ddbe4ad79db,2,24,blue,8401,0
11936ddbe4ad79db,2,25,blue,5696,0
11936ddbe4ad79db,2,26,blue,3089,1
11936ddbe4ad79db,2,27,blue,3927,1
11936ddbe4ad79db,2,28,blue,6646,0
11936ddbe4ad79db,2,29,blue,8872,0
11936ddbe4ad79db,2,30,blue,6400,0
11936ddbe4ad79db,2,31,blue,2408,1
11936ddbe4ad79db,2,32,blue,2983,1
11936ddbe4ad79db,2,33,blue,6287,0
